station_id,num_bikes_available,numBikesAvailable,num_bikes_available_types,num_docks_available,numDocksAvailable,is_installed,is_returning,is_renting,last_reported,stationCode,station_opening_hours,snapshot_time
252339799,19,19,"[{'mechanical': 16}, {'ebike': 3}]",9,9,1,1,1,1770729100,21019,,2026-02-10 14:02:35.655191
129134084,13,13,"[{'mechanical': 7}, {'ebike': 6}]",12,12,1,1,1,1770729125,21105,,2026-02-10 14:02:35.655191
1805401614,18,18,"[{'mechanical': 17}, {'ebike': 1}]",9,9,1,1,1,1770729075,21032,,2026-02-10 14:02:35.655191
20432939844,9,9,"[{'mechanical': 3}, {'ebike': 6}]",14,14,1,1,1,1770728749,27008,,2026-02-10 14:02:35.655191
129116697,3,3,"[{'mechanical': 0}, {'ebike': 3}]",15,15,1,1,1,1770728886,19109,,2026-02-10 14:02:35.655191
977409509,5,5,"[{'mechanical': 1}, {'ebike': 4}]",32,32,1,1,1,1770728872,31019,,2026-02-10 14:02:35.655191
653055049,15,15,"[{'mechanical': 10}, {'ebike': 5}]",18,18,1,1,1,1770729059,32014,,2026-02-10 14:02:35.655191
221041655,7,7,"[{'mechanical': 4}, {'ebike': 3}]",47,47,1,1,1,1770728709,18032,,2026-02-10 14:02:35.655191
1057769632,9,9,"[{'mechanical': 7}, {'ebike': 2}]",17,17,1,1,1,1770729102,17124,,2026-02-10 14:02:35.655191
1333959209,3,3,"[{'mechanical': 3}, {'ebike': 0}]",16,16,1,1,1,1770728616,44012,,2026-02-10 14:02:35.655191
213690256,13,13,"[{'mechanical': 10}, {'ebike': 3}]",32,32,1,1,1,1770728830,17027,,2026-02-10 14:02:35.655191
120564786,54,54,"[{'mechanical': 36}, {'ebike': 18}]",2,2,1,1,1,1770729096,2009,,2026-02-10 14:02:35.655191
632007124,1,1,"[{'mechanical': 0}, {'ebike': 1}]",34,34,1,1,1,1770729078,31016,,2026-02-10 14:02:35.655191
977206088,6,6,"[{'mechanical': 3}, {'ebike': 3}]",24,24,1,1,1,1770729057,51003,,2026-02-10 14:02:35.655191
213868408,27,27,"[{'mechanical': 25}, {'ebike': 2}]",3,3,1,1,1,1770729061,22101,,2026-02-10 14:02:35.655191
129061615,33,33,"[{'mechanical': 16}, {'ebike': 17}]",1,1,1,1,1,1770728857,13016,,2026-02-10 14:02:35.655191
224598098,26,26,"[{'mechanical': 22}, {'ebike': 4}]",24,24,1,1,1,1770728933,13043,,2026-02-10 14:02:35.655191
82508970,1,1,"[{'mechanical': 0}, {'ebike': 1}]",25,25,1,1,1,1770728965,44102,,2026-02-10 14:02:35.655191
653055097,5,5,"[{'mechanical': 1}, {'ebike': 4}]",16,16,1,1,1,1770728943,9115,,2026-02-10 14:02:35.655191
27246227,1,1,"[{'mechanical': 0}, {'ebike': 1}]",22,22,1,1,1,1770728798,19039,,2026-02-10 14:02:35.655191
63297,11,11,"[{'mechanical': 3}, {'ebike': 8}]",10,10,1,1,1,1770729075,16032,,2026-02-10 14:02:35.655191
95927849,6,6,"[{'mechanical': 3}, {'ebike': 3}]",33,33,1,1,1,1770728941,21003,,2026-02-10 14:02:35.655191
102341385,14,14,"[{'mechanical': 9}, {'ebike': 5}]",8,8,1,1,1,1770728922,22001,,2026-02-10 14:02:35.655191
54000605,3,3,"[{'mechanical': 1}, {'ebike': 2}]",37,37,1,1,1,1770728893,18025,,2026-02-10 14:02:35.655191
979059925,2,2,"[{'mechanical': 1}, {'ebike': 1}]",27,27,1,1,1,1770729036,17122,,2026-02-10 14:02:35.655191
6512,0,0,"[{'mechanical': 0}, {'ebike': 0}]",15,15,1,1,1,1770728539,20027,,2026-02-10 14:02:35.655191
27363323,28,28,"[{'mechanical': 17}, {'ebike': 11}]",4,4,1,1,1,1770729100,9023,,2026-02-10 14:02:35.655191
10968855,3,3,"[{'mechanical': 2}, {'ebike': 1}]",16,16,1,1,1,1770729009,14122,,2026-02-10 14:02:35.655191
